_PAD_	0
东西	1
不错	2
一看	3
正品	4
包装	5
没有	6
开机	7
相信	8
京东	9
老	10
顾客	11
值得	12
信赖	13
五星	14
好评	15
说实话	16
非常	17
喜欢	18
送给	19
客户	20
之前	21
送	22
苹果派	23
不能	24
拷	25
文件	26
找到	27
款	28
物美价廉	29
经济	30
实惠	31
买	32
好几个	33
国产	34
优品	35
质量	36
速度	37
快	38
拥有	39
单卡	40
+	41
扩展	42
家人	43
现在	44
问题	45
外观	46
手感	47
华为	48
品质	49
一如既往	50
朋友	51
昨天晚上	52
下单	53
今天	54
早就	55
收到	56
货	57
物流	58
120	59
应该	60
音效	61
特棒	62
耳机	63
听	64
外放	65
尤其	66
时	67
简直	68
震撼	69
大小	70
舒适	71
屏幕	72
细腻	73
电影	74
带感	75
续航	76
性能	77
安卓	78
平板	79
里	80
价位	81
之选	82
荣耀	83
国人	84
骄傲	85
坚决	86
支持	87
抵制	88
美日	89
没得说	90
久	91
评价	92
手机	93
价格合理	94
购物	95
老人	96
生日礼物	97
屏大	98
待机时间	99
长	100
买家	101
印象	102
颜色	103
好看	104
做工	105
精细	106
比官	107
网	108
便宜	109
无色差	110
原装	111
一个	112
礼拜	113
个人	114
觉得	115
满意	116
暂时	117
没	118
发现	119
不足	120
平时	121
孩子	122
学习	123
看看	124
电视	125
够用	126
很快	127
精美	128
618	129
真的	130
回家	131
女儿	132
乐坏了	133
网速	134
好好	135
看电视	136
玩游戏	137
特别	138
快递	139
超	140
服务	141
杠杠	142
刚刚	143
拿到	144
手	145
运行	146
流畅	147
一点	148
卡	149
感觉	150
机身	151
触感	152
一直	153
家里	154
果断	155
选择	156
失望	157
清晰	158
音质	159
漂亮	160
!	161
电脑	162
好用	163
大屏	164
儿子	165
礼物	166
宝贝	167
几部	168
经得住	169
摔	170
这部	171
不会	172
继续	173
板	174
配送	175
超赞	176
赶上	177
活动	178
分期	179
膜	180
套子	181
乐视卡	182
划算	183
水果	184
差	185
操作	186
方便	187
一流	188
轻薄	189
看片	190
音响效果	191
色彩	192
全家	193
感受	194
国货	195
吾	196
消费	197
商城	198
数年	199
深知	200
产品	201
琳琅满目	202
然	203
唯此	204
宝物	205
众	206
皆	207
不同	208
出	209
淤泥	210
之清莲	211
为之动容	212
心驰神往	213
茶饭不思	214
寝食难安	215
辗转反侧	216
无法	217
忘怀	218
紧衣	219
缩食	220
凑齐	221
银两	222
倾吾之	223
东哥	224
热心	225
员	226
殷切	227
无不	228
感激涕零	229
可谓	230
迅雷不及	231
掩耳盗铃	232
儿响	233
叮	234
当仁不让	235
世界	236
充满	237
爱	238
打开	239
包裹	240
顿时	241
金	242
光四射	243
屋内	244
升起	245
七彩	246
祥云	247
处处	248
祥和	249
之气	250
惊讶	251
之余	252
甚	253
欣喜若狂	254
呜呼哀哉	255
此宝	256
乃是	257
天上	258
物	259
人间	260
几回	261
求	262
遂	263
沐浴	264
更衣	265
焚香	266
祷告	267
人共赏	268
赞叹不已	269
故生	270
款型	271
高性价比	272
之慨	273
赞	274
独具慧眼	275
时尚	276
品位	277
介绍	278
句句	279
实言	280
毫无	281
夸大	282
欺瞒	283
嫌	284
实乃	285
风范	286
忠义	287
商贾	288
六期	289
免息	290
力	291
关注	292
好久	293
终于	294
如愿以偿	295
同事	296
牌子	297
这款	298
棒极了	299
打电话	300
确实	301
使用性能	302
超给力	303
早起	304
中午	305
有钱	306
产品设计	307
优秀	308
超棒	309
最后	310
说	311
看法	312
认为	313
中	314
成熟	315
一款	316
个性	317
无论是	318
安全性	319
精致	320
功能	321
更胜一筹	322
一天	323
到手	324
非常感谢	325
十分满意	326
出色	327
视频	328
音频	329
体验	330
将近	331
三个	332
月	333
各个方面	334
声音	335
目前	336
市面上	337
几乎	338
智能手机	339
要响	340
带上	341
效果	342
不愧	343
哈慢	344
炖	345
......	346
超级	347
棒	348
起来	349
老爸	350
老妈	351
爸妈	352
比较	353
我用	354
爽	355
全新	356
发货	357
不到	358
二十四	359
小时	360
谢谢	361
我配	362
皮套	363
五星级	364
柔和	365
视觉	366
五个	367
星	368
下次	369
观顾	370
挺快	371
凌晨	372
当天	373
本来	374
系统	375
显示	376
预计	377
明天	378
预期	379
送货	380
不卡	381
放心	382
大而	383
上网	384
平版	385
通话	386
两用	387
赠品	388
实际	389
给力	390
一次	391
开心	392
够快	393
小哥	394
态度	395
很棒	396
实在	397
太	398
超值	399
超快	400
第一天	401
第二天	402
